Halofantrine	small molecule	KCNH2
Dantrolene	small molecule	RYR1
Ketamine	small molecule	SLC6A2
Aripiprazole	small molecule	SLC6A3
Aripiprazole	small molecule	Slc6a3
Aripiprazole	small molecule	SLC6A4
Gemfibrozil	small molecule	SLCO1B1
Gemfibrozil	small molecule	SLC22A8
Gemfibrozil	small molecule	SLCO2B1
Gemfibrozil	small molecule	SLCO1B3
Clomipramine	small molecule	SLC6A4
Clomipramine	small molecule	SLC6A2
Bepridil	small molecule	CACNA1A
Bepridil	small molecule	CACNA1A
Bepridil	small molecule	CACNA1H
Bepridil	small molecule	ATP1A1
Bepridil	small molecule	KCNH2
Isocarboxazid	small molecule	MAOB
Alglucosidase alfa	biotech	M6PR
Quinethazone	small molecule	SLC12A1
Quinethazone	small molecule	SLC12A2
Potassium cation	small molecule	ATP1A1
Ephedra sinica root	biotech	SLC6A3
Ephedra sinica root	biotech	Slc6a3
Ephedra sinica root	biotech	SLC6A2
Ephedra sinica root	biotech	MAOB
Ephedra sinica root	biotech	SLC6A4
Ephedra sinica root	biotech	SLC18A2
Ephedra sinica root	biotech	Slc18a2
Ephedrine	small molecule	SLC6A2
Rasagiline	small molecule	MAOB
Aluminium	small molecule	ATP1A1
Calcium	small molecule	CACNA1C
Calcium	small molecule	CP
Magnesium cation	small molecule	ATP1A1
Ginkgo biloba	biotech	SLC6A2
Mibefradil	small molecule	CACNA1G
Mibefradil	small molecule	CACNA1H
Mibefradil	small molecule	CACNA1C
Mibefradil	small molecule	CACNA1D
Mibefradil	small molecule	CACNA1F
Mibefradil	small molecule	CACNA1I
Mibefradil	small molecule	CACNA1I
Mibefradil	small molecule	CACNA1S
Mibefradil	small molecule	CACNB1
Mibefradil	small molecule	CACNB2
Mibefradil	small molecule	CACNB3
Mibefradil	small molecule	CACNB4
Digitoxin	small molecule	ATP1A1
Almitrine	small molecule	ATP1A1
MMDA	small molecule	SLC6A3
MMDA	small molecule	Slc6a3
MMDA	small molecule	SLC6A4
MMDA	small molecule	SLC6A2
MMDA	small molecule	SLC18A2
MMDA	small molecule	Slc18a2
MMDA	small molecule	MAOB
Midomafetamine	small molecule	SLC6A4
Midomafetamine	small molecule	SLC18A2
Midomafetamine	small molecule	Slc18a2
Midomafetamine	small molecule	SLC6A3
Midomafetamine	small molecule	Slc6a3
Midomafetamine	small molecule	SLC6A2
Fencamfamin	small molecule	SLC6A3
Fencamfamin	small molecule	Slc6a3
4-Methoxyamphetamine	small molecule	SLC6A3
4-Methoxyamphetamine	small molecule	Slc6a3
4-Methoxyamphetamine	small molecule	SLC6A4
4-Methoxyamphetamine	small molecule	SLC18A2
4-Methoxyamphetamine	small molecule	Slc18a2
4-Methoxyamphetamine	small molecule	MAOB
Dextroamphetamine	small molecule	SLC18A2
Dextroamphetamine	small molecule	Slc18a2
Dextroamphetamine	small molecule	SLC6A2
Dextroamphetamine	small molecule	SLC6A3
Dextroamphetamine	small molecule	Slc6a3
Metamfetamine	small molecule	SLC6A3
Metamfetamine	small molecule	Slc6a3
Metamfetamine	small molecule	SLC6A4
Metamfetamine	small molecule	SLC6A2
Metamfetamine	small molecule	SLC18A2
Metamfetamine	small molecule	Slc18a2
Metamfetamine	small molecule	MAOB
Phendimetrazine	small molecule	SLC6A2
Iron	small molecule	TFRC
Iron	small molecule	CP
Zinc	small molecule	APOBR
Zinc	small molecule	CP
Zinc	small molecule	SEPP1
Probucol	small molecule	ABCA1
Pargyline	small molecule	MAOB
Isatin	small molecule	MAOB
(R)-N-methyl-N-2-propynyl-1-indanamine	small molecule	MAOB
N-Octyl-2-Hydroxyethyl Sulfoxide	small molecule	cirA
N-Octyl-2-Hydroxyethyl Sulfoxide	small molecule	ompC
Farnesol	small molecule	MAOB
Homoserine Lactone	small molecule	SLC9A1
N-Dodecyl-N	N-Dimethyl-3-Ammonio-1-Propanesulfonate	MAOB
Resveratrol	small molecule	ITGB3
1-3 Sugar Ring of Pentamannosyl 6-Phosphate	small molecule	M6PR
alpha-D-mannose 6-phosphate	small molecule	M6PR
Piretanide	small molecule	SLC12A1
Flavin adenine dinucleotide	small molecule	MAOB
Phenol	small molecule	ALB
Vanoxerine	small molecule	SLC6A3
Vanoxerine	small molecule	Slc6a3
Benzoic acid	small molecule	SLC15A1
N-Propargyl-1(S)-Aminoindan	small molecule	MAOB
Dodecyldimethylamine N-oxide	small molecule	MAOB
Dodecyldimethylamine N-oxide	small molecule	cirA
(Hydroxyethyloxy)Tri(Ethyloxy)Octane	small molecule	ompF
(Hydroxyethyloxy)Tri(Ethyloxy)Octane	small molecule	ompC
5-Hydroxy-N-Propargyl-1(R)-Aminoindan	small molecule	MAOB
Phosphoaminophosphonic Acid-Adenylate Ester	small molecule	TRPM7
1	4-Dithiothreitol	TRPM7
N-METHYL-N-[(1R)-1-METHYL-2-PHENYLETHYL]PROP-2-EN-1-AMINE	small molecule	MAOB
Suramin	small molecule	RYR1
Nialamide	small molecule	MAOB
Nomifensine	small molecule	SLC6A2
Nomifensine	small molecule	SLC6A3
Nomifensine	small molecule	Slc6a3
Nomifensine	small molecule	MAOB
Nomifensine	small molecule	SLC6A4
Nomifensine	small molecule	SLC18A2
Nomifensine	small molecule	Slc18a2
Zimelidine	small molecule	SLC6A4
Zimelidine	small molecule	MAOB
Amineptine	small molecule	SLC6A2
Amineptine	small molecule	SLC6A4
Debrisoquine	small molecule	SLC6A2
Flunarizine	small molecule	CACNA1G
Flunarizine	small molecule	CACNA1H
Flunarizine	small molecule	CACNA1I
Flunarizine	small molecule	CACNA1I
Tetrabenazine	small molecule	SLC18A2
Tetrabenazine	small molecule	Slc18a2
Biricodar	small molecule	ABCB5
Biricodar	small molecule	ABCC1
