"","SYMBOL","ENTREZID"
"702","RRM2","6241"
"703","RRM2B","50484"
"704","POLA1","5422"
"705","POLE","5426"
"706","POLE2","5427"
"707","POLE3","54107"
"708","POLE4","56655"
"709","PNP","4860"
"711","IKBKB","3551"
"712","MPO","4353"
"713","HTR2A","3356"
"714","HTR1E","3354"
"715","HTR6","3362"
"716","HTR7","3363"
"717","ADRA2A","150"
"718","ADRA2B","151"
"719","ADRA2C","152"
"720","CHRM4","1132"
"721","CHRM5","1133"
"722","HTR5A","3361"
"723","HTR2B","3357"
"725","SCN1A","6323"
"726","SCN1B","6324"
"727","SCN3A","6328"
"728","SCN8A","6334"
"729","ESR2","2100"
"730","ESRRB","2103"
"731","NCOA2","10499"
"732","AR","367"
"734","KCNN4","3783"
"735","HCAR2","338442"
"740","CRYZ","1429"
"742","CACNA1C","775"
"743","CACNB2","783"
"744","CACNA1H","8912"
"745","CACNA2D2","9254"
"746","CACNA1D","776"
"747","CACNA1S","779"
"748","HRH2","3274"
"749","CA3","761"
"756","ORM1","5004"
"757","ALB","213"
"758","CPNE1","8904"
"759","HM13","81502"
"760","NOMO1","23420"
"761","PARP1","142"
"762","RIC3","79608"
"763","TTLL3","26140"
"764","THRA","7067"
"765","THRB","7068"
"766","PCNA","5111"
"767","KCND2","3751"
"768","KCND3","3752"
"769","ORM2","5005"
"770","SCN10A","6336"
"771","SCN9A","6335"
"772","SCN4A","6329"
"773","FDPS","2224"
"774","GGPS1","9453"
"775","CASP3","836"
"776","CASP9","842"
"777","AMY2A","279"
"778","GAA","2548"
"779","PTGFR","5737"
"780","ANXA1","301"
"781","KCNJ3","3760"
"782","LIG1","3978"
"783","LIG3","3980"
"785","TYMS","7298"
"788","PGR","5241"
"789","LY96","23643"
"790","PTGER1","5731"
"795","CACNB1","782"
"796","CACNG1","786"
"797","KCNK1","3775"
"798","KCNK6","9424"
"799","KCNH6","81033"
"800","KCNH7","90134"
"801","TUBB1","81027"
"802","CA7","766"
"803","HDAC9","9734"
"805","PTGES3","10728"
"809","HTR4","3360"
"810","ADRB3","155"
"811","NTRK1","4914"
"812","NTRK2","4915"
"813","KCNQ2","3785"
"814","KCNA1","3736"
"815","HRH4","59340"
"816","SIGMAR1","10280"
"817","KCNQ3","3786"
"818","NPR1","4881"
"819","PTGR2","145482"
"820","PTGDR2","11251"
"824","HTR3A","3359"
"827","MTOR","2475"
"828","FKBP1A","2280"
"829","AHR","196"
"830","CACNA1G","8913"
"831","HPD","3242"
"846","KCNMA1","3778"
"848","TPH1","7166"
"849","TUBB","203068"
"851","CALY","50632"
"852","PGA5","5222"
"853","FGF2","2247"
"854","EGF","1950"
"855","NR1I3","9970"
"856","SRD5A1","6715"
"858","PTGIR","5739"
"859","TOP2B","7155"
"860","CACNA1B","774"
"861","CACNA2D3","55799"
"862","SMPD1","6609"
"863","CACNA1I","8911"
"864","CES1","1066"
"865","SCNN1G","6340"
"866","SCNN1A","6337"
"867","SCNN1B","6338"
"868","SCNN1D","6339"
"869","TPO","7173"
"870","ATP1A1","476"
"871","CACNA1F","778"
"872","CACNB3","784"
"873","CACNB4","785"
"874","NR3C2","4306"
"875","GABRB2","2561"
"876","GABRG2","2566"
"877","BRAF","673"
"878","RAF1","5894"
"879","FLT4","2324"
"880","KDR","3791"
"881","FLT3","2322"
"882","KIT","3815"
"883","RET","5979"
"884","FLT1","2321"
"885","CCKAR","886"
"886","SERPINC1","462"
"887","SERPIND1","3053"
"889","SLC15A1","6564"
"890","SLC15A2","6565"
"891","TEK","7010"
"892","UGCG","7357"
"893","GABRB1","2560"
"894","GABRB3","2562"
"895","GABRR1","2569"
"896","GUCY1A2","2977"
"897","MT1A","4489"
"898","SLC12A3","6559"
"899","XDH","7498"
"900","CMPK1","51727"
"903","CD55","1604"
"904","MAPT","4137"
"906","CXCR4","7852"
"909","KCNH1","3756"
"910","RBP1","5947"
"911","GP9","2815"
"912","CNR1","1268"
"913","CNR2","1269"
"914","CYSLTR1","10800"
"915","CKS1B","1163"
"916","CALM1","801"
"918","CRBN","51185"
"919","TNFSF11","8600"
"920","CDH5","1003"
"921","SERPINB9","5272"
"922","TFF1","7031"
"923","PDPK1","5170"
"924","CDH11","1009"
"925","TOP1","7150"
"927","GANAB","23193"
"928","GANC","2595"
"929","SLC22A6","9356"
"930","SLC22A8","9376"
"931","SLC22A11","55867"
"932","SLC22A7","10864"
"933","TERT","7015"
"934","MCHR1","2847"
"935","PLAT","5327"
"936","LPA","4018"
"937","PGRMC1","10857"
"938","MPG","4350"
"939","TF","7018"
"940","ATOX1","475"
"941","TUBA1A","7846"
"942","TUBB4B","10383"
"946","HPN","3249"
"947","IGFBP3","3486"
"948","PSG5","5673"
"949","CYP26C1","340665"
"950","SQLE","6713"
"952","ELN","2006"
"953","DLG4","1742"
"957","TUBA4A","7277"
"959","AKR1D1","6718"
"960","SRD5A2","6716"
"963","MMP12","4321"
"964","ADA","100"
"965","CHRNA1","1134"
"966","EDNRA","1909"
"967","EDNRB","1910"
"971","KCNK3","3777"
"972","KCNK9","51305"
"973","CA9","768"
"974","CA12","771"
"975","TUBD1","51174"
"976","TUBG1","7283"
"977","TUBE1","51175"
"979","SLC22A4","6583"
"980","SLC22A5","6584"
"981","CRAT","1384"
"982","SLC25A20","788"
"983","CROT","54677"
"984","PLA2G4A","5321"
"985","ANXA3","306"
"986","ANXA4","307"
"987","ANXA5","308"
"988","AOC1","26"
"989","ASIC2","40"
"990","ASIC1","41"
"991","SLC9A1","6548"
"992","PLAU","5328"
"993","FAAH","2166"
"994","MAPK3","5595"
"995","AKR1B10","57016"
"996","FXYD2","486"
"997","SFRP4","6424"
"998","TLR9","54106"
"1001","HMGB1","3146"
"1002","ACE2","59272"
"1006","HNMT","3176"
"1010","HSP90AA1","3320"
"1011","HSP90B1","7184"
"1012","MME","4311"
"1013","BCR","613"
"1014","CSF1R","1436"
"1015","DDR1","780"
"1016","IDE","3416"
"1017","HCAR3","8843"
